,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
269,dingle,0,PH,1551937239,40,90.46,11.0,122.67,12.55
270,aswan,0,EG,1551937381,68,55.22,24.09,32.9,4.94
271,nanortalik,80,GL,1551937299,90,31.19,60.14,-45.24,13.44
272,morrope,90,PE,1551934800,78,77.0,-6.54,-80.02,14.99
273,alta floresta,64,BR,1551937586,95,73.63,-9.87,-56.08,1.7
274,balkhash,0,KZ,1551936600,73,21.2,46.84,74.98,15.66
275,halden,92,SE,1551937536,97,35.01,59.12,11.39,5.82
276,grand gaube,40,MU,1551937144,66,86.0,-20.01,57.66,3.36
277,bereda,20,ES,1551937540,81,48.99,43.27,-7.54,11.41
278,hithadhoo,20,MV,1551937268,100,83.12,-0.6,73.08,5.28
279,mpanda,36,TZ,1551937587,88,68.95,-6.34,31.07,4.16
280,west wendover,90,US,1551934560,87,42.8,40.74,-114.07,5.82
281,sabang,80,PH,1551937235,83,81.32,13.72,123.58,6.62
282,chapais,1,CA,1551934800,76,-11.21,49.78,-74.86,3.36
283,buchanan,0,LR,1551937588,96,80.92,5.88,-10.05,6.29
284,illela,64,NG,1551937588,80,72.19,12.25,4.3,4.94
285,mimongo,92,GA,1551937588,95,71.11,-1.62,11.6,2.15
286,pangnirtung,64,CA,1551937328,74,-7.56,66.15,-65.72,6.17
287,fortuna foothills,1,US,1551937569,42,69.8,32.66,-114.41,3.36
288,limoges,90,FR,1551937515,93,43.0,45.84,1.26,14.99
289,el doncello,32,CO,1551937589,94,69.71,1.68,-75.28,2.15
290,saint-augustin,92,FR,1551937510,81,50.0,44.83,-0.61,10.29
291,kahului,75,US,1551937276,82,71.01,20.89,-156.47,16.11
292,honiara,64,SB,1551937270,96,78.71,-9.43,159.96,2.37
293,santiago de cao,90,PE,1551934800,88,73.4,-7.96,-79.24,5.82
294,zahesi,0,GE,1551936600,65,46.4,41.83,44.76,21.92
295,northam,92,GB,1551937331,87,46.0,51.04,-4.21,18.34
296,wetter,75,DE,1551937593,62,53.01,50.9,8.72,12.75
297,marica,0,BR,1551937227,88,82.0,-22.92,-42.82,1.12
298,stulovo,0,RU,1551937284,72,21.99,55.85,38.31,2.24
299,talnakh,56,RU,1551937313,84,6.62,69.49,88.39,24.18
300,rio brilhante,36,BR,1551937594,95,71.42,-21.8,-54.54,2.93
301,renfrew,92,GB,1551937507,100,42.01,55.88,-4.39,3.36
302,tuatapere,92,NZ,1551937206,94,53.01,-46.13,167.69,1.99
303,coquimbo,0,CL,1551934800,93,59.0,-29.95,-71.34,5.17
304,macas,88,EC,1551937596,90,66.88,-2.3,-78.12,3.38
305,saint george,20,GR,1551936809,93,50.0,39.45,22.34,1.48
306,vanavara,64,RU,1551937380,59,20.08,60.35,102.28,5.73
307,prince rupert,1,CA,1551934800,50,33.8,54.32,-130.32,9.17
308,coahuayana,0,MX,1551937382,59,62.02,18.62,-100.35,3.04
309,jumla,0,NP,1551937597,62,35.47,29.28,82.18,1.81
310,lircay,44,PE,1551937597,86,30.74,-12.99,-74.72,1.7
311,valparaiso,40,US,1551937152,58,26.6,41.47,-87.06,8.05
312,iquique,0,CL,1551934800,72,68.0,-20.22,-70.14,3.36
313,yuncheng,44,CN,1551937597,48,48.79,35.03,111.0,9.42
314,sioux lookout,5,CA,1551934800,76,-0.41,50.1,-91.92,3.36
315,amalapuram,40,IN,1551934800,46,89.6,16.58,82.0,4.7
316,brownwood,90,US,1551937281,45,46.4,31.71,-98.99,9.17
317,baiao,88,BR,1551937598,98,74.66,-2.79,-49.67,2.48
318,ust-kuyga,44,RU,1551937599,79,3.43,70.0,135.55,4.61
319,belmonte,44,PT,1551936699,95,37.0,40.36,-7.35,3.83
320,kavieng,44,PG,1551937363,100,81.19,-2.57,150.8,0.36
321,adwa,0,ET,1551937599,43,67.91,14.16,38.9,2.26
322,havelock,1,US,1551937555,80,34.0,34.88,-76.9,4.38
323,vilhena,8,BR,1551937599,94,70.97,-12.74,-60.15,2.15
324,huejuquilla el alto,8,MX,1551937600,62,49.87,22.63,-103.9,2.15
325,dickinson,90,US,1551937510,77,3.0,46.88,-102.79,4.7
326,tiksi,92,RU,1551937294,79,13.33,71.64,128.87,3.6
327,astoria,20,US,1551937401,80,41.0,46.19,-123.83,5.5
328,silver city,1,US,1551937459,45,55.99,32.77,-108.28,8.05
329,puerto escondido,0,MX,1551937400,100,82.22,15.86,-97.07,12.21
330,bouar,76,CF,1551937605,88,67.42,5.94,15.59,3.04
331,nigran,40,ES,1551937599,100,52.0,42.14,-8.81,8.05
332,sharan,56,AF,1551937605,100,26.24,33.15,68.78,3.38
333,moranbah,36,AU,1551937605,55,86.68,-22.0,148.04,13.11
334,zambezi,32,ZM,1551937330,83,69.62,-13.55,23.12,5.61
335,boras,90,SE,1551937528,100,43.0,57.72,12.94,12.75
336,chifeng,0,CN,1551937606,63,42.85,42.27,118.96,4.38
337,mount pleasant,90,US,1551937404,52,48.2,33.16,-94.97,6.4
338,deputatskiy,48,RU,1551937607,72,-7.74,69.3,139.9,3.49
339,jalu,0,LY,1551937607,76,47.8,29.03,21.55,2.82
340,kjollefjord,20,NO,1551936000,62,23.0,70.95,27.35,16.11
341,solikamsk,76,RU,1551937607,77,17.02,59.65,56.78,18.14
342,nueva loja,24,EC,1551937540,92,72.77,0.08,-76.88,1.92
343,kupang,75,ID,1551934800,66,89.6,-10.16,123.6,5.82
344,hirara,75,JP,1551934800,72,62.6,24.8,125.28,14.99
345,riverton,90,US,1551937514,92,26.6,43.02,-108.38,8.05
346,yenagoa,44,NG,1551937609,92,76.24,4.92,6.26,5.95
347,ninghai,40,CN,1551937596,50,55.99,29.29,121.42,8.95
348,emerald,32,AU,1551937302,51,93.0,-23.53,148.16,11.41
349,khani,90,GE,1551936600,93,46.4,41.96,42.96,12.75
350,maryville,90,US,1551937254,71,32.0,40.35,-94.87,5.82
351,mongar,12,BT,1551937610,59,63.82,27.28,91.24,2.04
352,lahij,36,YE,1551937610,91,76.96,13.06,44.88,3.94
353,thinadhoo,92,MV,1551937610,100,81.73,0.53,72.93,5.17
354,marakkanam,20,IN,1551934800,62,87.8,12.2,79.95,3.36
355,corinto,36,BR,1551937611,90,68.09,-18.36,-44.46,3.38
356,sambava,8,MG,1551937428,100,77.32,-14.27,50.17,1.92
357,yumen,8,CN,1551937611,46,46.99,40.29,97.04,14.56
358,buala,48,SB,1551937611,94,83.26,-8.15,159.59,6.17
359,frisco,1,US,1551937550,73,50.0,33.15,-96.82,9.17
360,nome,90,US,1551937284,66,53.6,30.04,-94.42,4.7
361,vaijapur,0,IN,1551937612,32,84.88,19.92,74.72,5.84
362,quesnel,88,CA,1551937612,79,14.36,52.98,-122.49,2.37
363,martapura,20,ID,1551934800,66,87.8,-3.41,114.85,10.29
364,karonga,32,MW,1551937613,100,75.92,-9.94,33.93,9.19
365,mendi,24,ET,1551937613,31,71.51,9.8,35.1,3.15
366,yola,0,NG,1551937461,67,66.56,9.26,12.45,2.71
367,zaoyang,32,CN,1551937614,48,51.76,32.12,112.76,9.98
368,luwuk,64,ID,1551937614,74,86.68,-0.95,122.79,2.93
369,richards bay,8,ZA,1551937356,82,77.05,-28.77,32.06,10.54
370,ayna,90,ES,1551937511,81,42.8,38.55,-2.07,12.75
371,nara,75,JP,1551936806,71,51.8,34.68,135.8,12.75
372,labuhan,36,ID,1551937330,64,85.96,-2.54,115.51,4.05
373,bundu,20,IN,1551934800,33,71.6,23.16,85.59,3.36
374,gerash,0,IR,1551934800,50,57.2,27.67,54.14,4.7
375,eyl,48,SO,1551937615,91,78.13,7.98,49.82,10.65
376,ampanihy,80,MG,1551937380,74,77.86,-24.69,44.75,10.54
377,comodoro rivadavia,90,AR,1551934800,93,50.0,-45.87,-67.48,1.12
378,yaan,48,NG,1551937615,93,75.7,7.38,8.57,9.98
379,zabid,0,YE,1551937616,53,65.8,14.2,44.5,3.71
380,xiaoweizhai,92,CN,1551937616,100,43.16,26.23,107.51,4.94
381,isiro,92,CD,1551937616,98,66.79,2.77,27.62,2.82
382,longyearbyen,0,NO,1551936000,49,3.2,78.22,15.63,5.82
383,finnsnes,75,NO,1551936000,92,19.4,69.23,17.98,10.29
384,hofn,92,IS,1551937316,100,34.34,64.25,-15.21,24.52
385,george,20,NG,1551934800,94,75.2,6.63,3.35,2.24
386,ternate,20,PH,1551936639,55,89.6,14.29,120.72,13.87
387,bubaque,0,GW,1551937381,99,75.92,11.28,-15.83,4.27
388,buraydah,0,SA,1551934800,81,50.0,26.33,43.97,4.7
389,porto tolle,40,IT,1551937605,87,53.01,44.95,12.32,5.82
390,port moresby,40,PG,1551934800,66,87.8,-9.47,147.16,11.41
391,tura,0,IN,1551937618,49,73.9,25.52,90.21,3.6
392,antsohihy,80,MG,1551937618,99,77.14,-14.88,47.99,4.38
393,almaznyy,0,RU,1551934800,89,32.0,48.03,40.04,2.24
394,sur,0,OM,1551937378,90,74.17,22.57,59.53,5.17
395,inuvik,75,CA,1551934800,60,10.4,68.36,-133.71,6.93
396,road town,20,VG,1551937469,83,75.99,18.42,-64.62,6.93
397,ballina,92,IE,1551937384,88,45.0,54.11,-9.15,8.99
398,guerrero negro,0,MX,1551937184,95,53.69,27.97,-114.04,4.27
399,escanaba,90,US,1551937407,84,10.4,45.75,-87.06,7.85
400,candelaria,75,CO,1551934800,78,73.4,3.41,-76.35,5.82
401,baykit,20,RU,1551937307,74,14.32,61.68,96.39,5.84
402,derzhavinsk,44,KZ,1551937345,93,29.98,51.1,66.31,19.26
403,zaysan,92,KZ,1551937629,96,27.46,47.47,84.87,3.83
404,awjilah,0,LY,1551937179,73,49.06,29.14,21.3,2.82
405,at-bashi,12,KG,1551937227,58,16.0,41.17,75.81,2.37
406,dunda,0,IN,1551933000,59,64.4,30.62,78.32,3.36
407,awbari,0,LY,1551937631,47,43.03,26.59,12.77,5.06
408,pisco,40,PE,1551934800,94,73.4,-13.71,-76.2,8.05
409,aasiaat,24,GL,1551937631,83,20.84,68.71,-52.87,20.94
410,sisimiut,8,GL,1551937407,66,-1.89,66.94,-53.67,1.92
411,saurimo,92,AO,1551937631,98,64.72,-9.66,20.4,4.16
412,matara,0,PE,1551937632,95,37.04,-13.74,-72.9,1.81
413,bambous virieux,40,MU,1551937144,66,86.0,-20.34,57.76,3.36
414,sibolga,12,ID,1551937598,68,83.66,1.74,98.78,1.14
415,boa vista,0,BR,1551934800,54,84.2,2.82,-60.67,12.75
416,espanola,48,CA,1551936762,86,-1.0,46.27,-81.77,3.94
417,balkanabat,0,TM,1551937634,72,47.62,39.51,54.36,3.38
418,mao,75,DO,1551937551,78,75.0,19.55,-71.08,5.82
419,margate,0,AU,1551937335,32,68.0,-43.03,147.26,20.8
420,bolu,0,TR,1551937634,81,30.88,40.73,31.61,2.37
421,okha,0,RU,1551937635,89,15.76,53.59,142.95,9.42
422,geraldton,75,CA,1551934800,59,-0.41,49.72,-86.95,12.75
423,saint charles,1,US,1551937630,73,25.0,41.91,-88.31,11.41
424,surin,20,TH,1551936727,37,106.0,14.88,103.49,8.05
425,camara de lobos,75,PT,1551937271,72,59.0,32.63,-16.97,3.36
426,umba,76,RU,1551937406,87,22.87,66.69,34.34,15.23
427,atar,0,MR,1551937636,40,53.87,20.52,-13.05,8.63
428,dudinka,88,RU,1551937636,82,9.37,69.41,86.18,28.77
429,naze,24,NG,1551937148,93,72.59,5.43,7.07,4.05
430,pallasovka,0,RU,1551937637,100,27.37,50.04,46.89,13.78
431,manihari,0,IN,1551937637,43,77.99,25.34,87.62,8.41
432,venkatagiri,20,IN,1551934800,59,89.6,13.96,79.58,6.93
433,manacapuru,0,BR,1551934800,83,78.8,-3.3,-60.62,4.7
434,vestmanna,24,FO,1551936000,69,33.8,62.16,-7.17,3.36
435,charlestown,1,US,1551937324,52,21.2,41.38,-71.64,13.89
436,boende,88,CD,1551937638,95,74.66,-0.28,20.88,3.04
437,mana,0,RS,1551934800,81,44.6,43.52,20.24,1.12
438,biltine,8,TD,1551937306,40,71.24,14.53,20.93,7.96
439,polyarnyy,0,RU,1551934800,76,-9.41,69.2,33.45,2.24
440,tessalit,0,ML,1551937639,30,49.42,20.2,1.01,4.16
441,mandurah,90,AU,1551937585,73,79.0,-32.55,115.7,5.82
442,praia da vitoria,75,PT,1551936672,93,61.0,38.73,-27.07,21.61
443,methven,48,NZ,1551937591,48,72.0,-43.63,171.65,11.01
444,bedele,0,ET,1551937640,89,63.01,8.46,36.35,3.71
445,palimbang,75,PH,1551937556,49,91.4,14.9,120.78,9.17
446,gat,0,SN,1551934800,82,62.6,14.69,-16.54,23.04
447,les cayes,76,HT,1551937641,99,78.67,18.19,-73.75,10.76
448,oviedo,0,ES,1551937606,65,48.99,43.36,-5.84,11.41
449,sao felix do xingu,36,BR,1551937642,99,70.48,-6.64,-51.99,2.15
450,reda,0,PL,1551937451,83,43.0,54.6,18.35,11.41
451,manvi,0,IN,1551937502,26,91.72,16.0,77.05,5.61
452,vao,68,EE,1551937643,90,24.26,59.1,26.19,10.2
453,aktau,75,KZ,1551936600,65,44.6,43.65,51.16,11.18
454,salalah,0,OM,1551934200,65,78.8,17.01,54.1,2.24
455,samaipata,76,BO,1551937643,88,70.97,-18.18,-63.88,7.74
456,monrovia,92,LR,1551937447,88,79.48,6.33,-10.8,5.17
457,torzhok,12,RU,1551937644,83,12.52,57.04,34.97,14.0
458,galesong,75,ID,1551934800,100,75.2,-5.32,119.37,4.7
459,antofagasta,40,CL,1551934800,77,66.2,-23.65,-70.4,5.82
460,estelle,1,US,1551937466,89,48.99,32.87,-97.01,3.36
461,goderich,76,CA,1551937610,87,18.0,43.74,-81.71,7.18
462,mwinilunga,76,ZM,1551937644,97,63.41,-11.73,24.43,3.27
463,hermon,56,GB,1551937633,81,46.4,51.96,-4.61,21.92
464,port hedland,0,AU,1551934800,45,102.2,-20.31,118.58,16.11
465,petropavlovsk-kamchatskiy,40,RU,1551934800,68,24.8,53.05,158.65,8.95
466,taoudenni,0,ML,1551937150,31,47.35,22.68,-3.98,2.59
467,belyy yar,0,RU,1551934800,46,30.2,53.6,91.39,2.24
468,grindavik,20,IS,1551937156,73,26.6,63.84,-22.43,18.34
469,lexington,90,US,1551937575,63,28.4,38.05,-84.5,5.84
470,ahuimanu,90,US,1551937601,83,73.4,21.44,-157.84,13.87
471,norsup,68,VU,1551937646,100,80.02,-16.07,167.38,2.37
472,san antonio,0,CL,1551934800,93,50.0,-33.58,-71.61,2.37
473,beringovskiy,88,RU,1551937404,92,24.58,63.05,179.32,19.48
474,wanning,0,AT,1551937625,83,41.0,48.64,13.53,4.7
475,bira,0,RU,1551937648,46,31.37,49.0,132.47,3.38
476,abis,8,YE,1551937648,52,71.2,14.53,45.35,3.38
477,mahebourg,40,MU,1551937144,66,86.0,-20.41,57.7,3.36
478,reconquista,68,AR,1551937649,89,71.65,-29.14,-59.64,6.29
479,juli,8,PE,1551937650,100,33.85,-16.21,-69.46,3.71
480,ciudad bolivar,24,VE,1551937650,53,79.97,8.12,-63.55,14.67
481,san ignacio,92,CL,1551934800,100,59.0,-36.8,-72.03,4.7
482,paita,92,PE,1551937651,78,76.06,-5.09,-81.11,2.59
483,langsa,0,ID,1551937651,71,85.78,4.47,97.97,2.59
484,tena,56,EC,1551937651,95,60.76,-0.99,-77.82,2.93
485,praia,0,BR,1551934800,78,71.6,-20.25,-43.81,6.93
486,nemuro,40,JP,1551934800,68,26.6,43.32,145.57,12.75
487,bethel,1,US,1551934560,86,30.2,60.79,-161.76,4.7
488,weymouth,1,US,1551937638,43,17.01,42.22,-70.94,6.93
489,lyubytino,8,RU,1551937655,74,11.57,58.81,33.39,11.54
490,cayenne,75,GF,1551936600,78,78.8,4.94,-52.33,5.82
491,kalangala,20,UG,1551934800,77,69.8,-0.32,32.29,13.87
492,yulara,0,AU,1551934800,12,98.6,-25.24,130.99,8.05
493,orlik,76,RU,1551937655,77,20.53,52.51,99.83,1.59
494,carupano,0,VE,1551937656,85,77.32,10.67,-63.26,13.33
495,bayevo,76,RU,1551937656,97,22.6,53.27,80.77,11.1
496,carutapera,88,BR,1551937368,100,72.64,-1.2,-46.02,7.18
497,kundla,0,IN,1551937656,30,84.56,21.34,71.31,5.95
498,villa rica,12,PE,1551937657,95,67.69,-10.74,-75.27,0.81
499,shimoda,40,JP,1551936000,45,64.4,34.7,138.93,12.75
500,beloha,24,MG,1551937248,69,80.83,-25.17,45.06,13.67
501,bayaguana,20,DO,1551937411,88,75.2,18.75,-69.64,6.93
502,rock springs,75,US,1551935460,92,28.4,41.59,-109.2,16.11
503,kuusamo,75,FI,1551936000,92,12.2,65.96,29.19,8.05
504,loiza,20,PR,1551937607,83,75.2,18.43,-65.88,14.45
505,north bend,90,US,1551937542,100,39.99,43.41,-124.22,5.82
506,aksarka,80,RU,1551937658,89,13.69,66.56,67.8,10.98
507,bonthe,0,SL,1551937659,98,75.7,7.53,-12.5,3.94
508,fez,75,MA,1551934800,93,48.2,34.03,-5.02,6.93
509,tigil,80,RU,1551937659,85,19.9,57.8,158.67,3.27
510,chambersburg,1,US,1551937591,44,21.2,39.94,-77.66,5.39
511,afonso bezerra,0,BR,1551937659,92,73.22,-5.5,-36.51,4.94
512,kaeo,8,NZ,1551937084,82,72.0,-35.1,173.78,5.99
513,guane,0,CU,1551937660,71,64.9,22.2,-84.09,7.63
514,mackay,75,CA,1551934800,84,3.2,53.65,-115.58,11.41
515,gravdal,75,NO,1551937623,86,44.01,59.79,5.78,18.34
516,saint-denis,75,FR,1551937422,87,45.0,48.94,2.36,17.22
517,vostok,24,RU,1551937313,48,28.72,46.45,135.83,3.38
518,dinghai,90,CN,1551934800,71,53.6,26.28,119.79,20.13
519,walvis bay,90,NA,1551934983,88,63.0,-22.95,14.51,4.7
520,ossora,88,RU,1551937661,90,24.94,59.24,163.07,15.9
521,podgornoye,88,RU,1551937662,78,27.86,57.79,82.64,11.54
522,mandalgovi,0,MN,1551937662,90,38.35,45.76,106.27,7.74
523,veraval,75,FR,1551937614,93,46.4,49.65,0.71,10.29
524,elliot,20,ZA,1551937662,43,70.52,-31.33,27.85,3.94
525,lermontovka,0,RU,1551937663,36,36.01,47.15,134.34,4.94
526,kiama,0,AU,1551937654,35,73.0,-34.67,150.86,10.29
527,gambela,32,ET,1551937663,42,76.46,8.25,34.59,4.72
528,norton,48,ZW,1551937663,71,68.23,-17.87,30.7,14.45
529,challapata,0,BO,1551937296,78,30.29,-18.9,-66.78,2.15
530,ahipara,92,NZ,1551937271,79,71.02,-35.17,173.16,10.54
531,bilma,0,NE,1551937563,30,50.81,18.69,12.92,9.86
532,bakchar,88,RU,1551937664,83,27.14,57.02,82.07,10.65
533,zulueta,20,CU,1551934200,72,66.2,22.37,-79.57,4.7
534,tadine,0,NC,1551937665,90,81.59,-21.55,167.88,15.35
535,marawi,88,PH,1551936633,76,82.99,8.0,124.29,5.01
536,presidencia roque saenz pena,92,AR,1551937383,98,71.38,-26.79,-60.44,6.17
537,strezhevoy,90,RU,1551934800,92,30.2,60.73,77.6,15.66
538,petukhovo,88,RU,1551937665,93,37.04,55.06,67.89,21.27
539,nelson bay,90,AU,1551937637,60,70.0,-32.72,152.14,11.41
540,ewa beach,20,US,1551937393,64,73.4,21.32,-158.01,4.7
541,zabaykalsk,0,CN,1551937666,29,43.61,49.64,117.33,5.61
